TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z,ImageFile
1648028981753,0.000000,0.000000,0.678566,1.000000,0.000000,0.000000,0.000000,img__0_1648028981831277000.png
1648028981801,0.000000,0.000000,0.678566,1.000000,0.000000,0.000000,0.000000,img__0_1648028981880708800.png
1648028981852,0.000000,0.000000,0.678566,1.000000,0.000000,0.000000,0.000000,img__0_1648028981928237400.png
1648028981915,0.000000,0.000000,0.678566,1.000000,0.000000,0.000000,0.000000,img__0_1648028981993415000.png
1648028981954,-0.000003,0.000000,0.677675,0.999987,0.000000,0.005138,-0.000000,img__0_1648028982034082900.png
1648028982002,-0.000413,0.000000,0.666658,0.999809,0.000000,0.019527,-0.000000,img__0_1648028982080802100.png
1648028982050,-0.002199,0.000000,0.641363,0.999649,0.000000,0.026478,-0.000000,img__0_1648028982129192400.png
1648028982098,-0.005912,0.000000,0.601223,0.999549,0.000000,0.030039,-0.000000,img__0_1648028982177432100.png
1648028982146,-0.011860,0.000000,0.546151,0.999490,0.000000,0.031919,-0.000000,img__0_1648028982226272900.png
1648028982212,-0.023929,0.000000,0.446381,0.999466,0.000000,0.032686,-0.000000,img__0_1648028982290865300.png
1648028982260,-0.035578,0.000000,0.356662,0.999473,0.000000,0.032463,-0.000000,img__0_1648028982339150500.png
1648028982308,-0.049612,0.000000,0.252847,0.999493,0.000000,0.031848,-0.000000,img__0_1648028982387572000.png
1648028982356,-0.065965,0.000000,0.135306,0.999520,0.000000,0.030987,-0.000000,img__0_1648028982435605600.png
1648028982404,-0.084549,0.000000,0.004454,0.999551,0.000000,0.029972,-0.000000,img__0_1648028982484473700.png
1648028982452,-0.105266,0.000000,-0.139259,0.999583,0.000000,0.028862,-0.000000,img__0_1648028982532361300.png
1648028982503,-0.129493,0.000000,-0.305511,0.999619,0.000000,0.027620,-0.000000,img__0_1648028982580932400.png
1648028982566,-0.162382,0.000000,-0.529283,0.999661,0.000000,0.026043,-0.000000,img__0_1648028982646369000.png
1648028982614,-0.189493,0.000000,-0.712750,0.999692,0.000000,0.024831,-0.000000,img__0_1648028982693666600.png
1648028982662,-0.218258,0.000000,-0.906852,0.999721,0.000000,0.023624,0.000000,img__0_1648028982742147800.png
