TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z,ImageFile
1648104738879,0.000000,0.000000,0.678848,1.000000,0.000000,0.000000,0.000000,img__0_1648104739040065800.png
1648104738930,0.000000,0.000000,0.678848,1.000000,0.000000,0.000000,0.000000,img__0_1648104739093016900.png
1648104738978,0.000000,0.000000,0.678848,1.000000,0.000000,0.000000,0.000000,img__0_1648104739139737800.png
1648104739041,0.000000,0.000000,0.678848,1.000000,0.000000,0.000000,0.000000,img__0_1648104739204205100.png
1648104739092,-0.000014,0.000000,0.678654,0.999823,0.000000,0.018800,-0.000000,img__0_1648104739253670400.png
1648104739140,-0.001449,0.000000,0.671275,0.996573,0.000000,0.082720,-0.000000,img__0_1648104739301746600.png
1648104739188,-0.008597,0.000000,0.650814,0.990264,0.000000,0.139203,-0.000000,img__0_1648104739350608000.png
1648104739236,-0.025346,0.000000,0.618201,0.983884,0.000000,0.178807,-0.000000,img__0_1648104739399114900.png
1648104739284,-0.054803,0.000000,0.573735,0.978202,0.000000,0.207657,-0.000000,img__0_1648104739447549900.png
1648104739350,-0.119747,0.000000,0.494701,0.972113,0.000000,0.234512,-0.000000,img__0_1648104739511140600.png
1648104739398,-0.186514,0.000000,0.425198,0.968845,0.000000,0.247667,-0.000000,img__0_1648104739559369500.png
1648104739446,-0.270642,0.000000,0.346378,0.966374,0.000000,0.257140,-0.000000,img__0_1648104739607611800.png
1648104739494,-0.372574,0.000000,0.258937,0.964530,0.000000,0.263972,-0.000000,img__0_1648104739655999900.png
1648104739542,-0.492472,0.000000,0.163617,0.963361,0.000000,0.268207,-0.000000,img__0_1648104739704527600.png
1648104739590,-0.630122,0.000000,0.061346,0.963710,0.000000,0.266950,-0.000000,img__0_1648104739752829600.png
1648104739656,-0.847908,0.000000,-0.090126,0.965381,0.000000,0.260844,-0.000000,img__0_1648104739817597000.png
1648104739705,-1.026327,0.000000,-0.207785,0.967035,0.000000,0.254642,-0.000000,img__0_1648104739867709500.png
1648104739753,-1.220881,0.000000,-0.331451,0.968846,0.000000,0.247664,-0.000000,img__0_1648104739914909000.png
1648104739801,-1.430869,0.000000,-0.460860,0.970711,0.000000,0.240249,-0.000000,img__0_1648104739963356500.png
1648104739849,-1.655576,0.000000,-0.595759,0.972573,0.000000,0.232599,-0.000000,img__0_1648104740010842400.png
1648104739900,-1.909666,0.000000,-0.744840,0.974509,0.000000,0.224348,-0.000000,img__0_1648104740061198900.png
1648104739951,-2.178746,0.000000,-0.899584,0.976379,0.000000,0.216064,-0.000000,img__0_1648104740111411600.png
1648104740011,-2.513417,0.000000,-1.088554,0.978476,0.000000,0.206359,-0.000000,img__0_1648104740172677600.png
