TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z,ImageFile
1648105357589,0.000000,0.000000,0.679942,1.000000,0.000000,0.000000,0.000000,img__0_1648105357664114600.png
1648105357634,0.000000,0.000000,0.679942,1.000000,0.000000,0.000000,0.000000,img__0_1648105357712784300.png
1648105357682,0.000000,0.000000,0.679942,1.000000,0.000000,0.000000,0.000000,img__0_1648105357760874800.png
1648105357748,0.000000,0.000000,0.679942,1.000000,0.000000,0.000000,0.000000,img__0_1648105357825366900.png
1648105357796,-0.000000,-0.000000,0.679919,0.999986,0.000000,0.005377,0.000000,img__0_1648105357875747700.png
1648105357844,-0.000729,0.000000,0.675389,0.997634,0.000000,0.068756,-0.000000,img__0_1648105357922143500.png
1648105357892,-0.006052,0.000000,0.658196,0.991974,0.000000,0.126439,-0.000000,img__0_1648105357971336200.png
1648105357943,-0.021309,0.000000,0.626348,0.985066,0.000000,0.172176,-0.000000,img__0_1648105358021403400.png
1648105357991,-0.048208,0.000000,0.584027,0.979181,0.000000,0.202988,-0.000000,img__0_1648105358068074900.png
1648105358054,-0.105686,0.000000,0.511631,0.973073,0.000000,0.230498,-0.000000,img__0_1648105358131707500.png
1648105358102,-0.168218,0.000000,0.444569,0.969581,0.000000,0.244773,-0.000000,img__0_1648105358180245100.png
1648105358150,-0.247954,0.000000,0.368012,0.966927,0.000000,0.255053,-0.000000,img__0_1648105358228339100.png
1648105358198,-0.345408,0.000000,0.282662,0.964941,0.000000,0.262467,-0.000000,img__0_1648105358276732800.png
1648105358246,-0.460825,0.000000,0.189218,0.963517,0.000000,0.267646,-0.000000,img__0_1648105358325116000.png
1648105358294,-0.594049,0.000000,0.088649,0.963541,0.000000,0.267560,-0.000000,img__0_1648105358373570900.png
1648105358360,-0.805903,0.000000,-0.060587,0.965010,0.000000,0.262212,-0.000000,img__0_1648105358438740000.png
1648105358408,-0.980183,0.000000,-0.176703,0.966601,0.000000,0.256287,-0.000000,img__0_1648105358487424000.png
1648105358456,-1.170768,0.000000,-0.298892,0.968385,0.000000,0.249460,-0.000000,img__0_1648105358535480900.png
1648105358504,-1.376964,0.000000,-0.426889,0.970244,0.000000,0.242131,-0.000000,img__0_1648105358583925400.png
1648105358552,-1.598058,0.000000,-0.560439,0.972110,0.000000,0.234526,-0.000000,img__0_1648105358631672300.png
1648105358600,-1.833341,0.000000,-0.699300,0.973946,0.000000,0.226782,-0.000000,img__0_1648105358680118700.png
1648105358651,-2.098096,0.000000,-0.852405,0.975837,0.000000,0.218500,-0.000000,img__0_1648105358728851700.png
1648105358717,-2.462014,0.000000,-1.058652,0.978170,0.000000,0.207809,-0.000000,img__0_1648105358794564900.png
1648105358762,-2.723123,0.000000,-1.204285,0.979676,0.000000,0.200585,-0.000000,img__0_1648105358841140900.png
1648105358813,-3.030001,0.000000,-1.371588,0.981297,0.000000,0.192500,-0.000000,img__0_1648105358890159500.png
1648105358861,-3.326379,0.000000,-1.524938,0.982732,0.000000,0.185035,-0.000000,img__0_1648105358938695900.png
1648105358909,-3.628600,0.000000,-1.671506,0.984072,0.000000,0.177770,-0.000000,img__0_1648105358987473600.png
1648105358957,-3.936136,0.000000,-1.810690,0.985314,0.000000,0.170752,-0.000000,img__0_1648105359035774100.png
1648105359020,-4.347456,0.000000,-1.982407,0.986797,0.000000,0.161962,-0.000000,img__0_1648105359099489500.png
1648105359068,-4.666509,0.000000,-2.105347,0.987820,0.000000,0.155602,-0.000000,img__0_1648105359147893500.png
1648105359116,-4.990321,0.000000,-2.221909,0.988756,0.000000,0.149535,-0.000000,img__0_1648105359195854900.png
1648105359164,-5.318762,0.000000,-2.332484,0.989613,0.000000,0.143759,-0.000000,img__0_1648105359244208200.png
1648105359215,-5.672652,0.000000,-2.443817,0.990442,0.000000,0.137930,-0.000000,img__0_1648105359292689900.png
1648105359263,-6.010213,0.000000,-2.543165,0.991153,0.000000,0.132724,-0.000000,img__0_1648105359341119000.png
1648105359326,-6.459624,0.000000,-2.666087,0.991995,0.000000,0.126281,-0.000000,img__0_1648105359405772600.png
1648105359377,-6.828524,0.000000,-2.759785,0.992607,0.000000,0.121374,-0.000000,img__0_1648105359454529900.png
1648105359425,-7.179719,0.000000,-2.843527,0.993133,0.000000,0.116994,-0.000000,img__0_1648105359502857900.png
1648105359473,-7.534650,0.000000,-2.923207,0.993614,0.000000,0.112832,-0.000000,img__0_1648105359551354400.png
1648105359521,-7.893180,0.000000,-2.999051,0.994055,0.000000,0.108877,-0.000000,img__0_1648105359598964500.png
1648105359569,-8.255176,0.000000,-3.071270,0.994460,0.000000,0.105119,-0.000000,img__0_1648105359647341300.png
1648105359635,-8.758335,0.000000,-3.165011,0.994962,0.000000,0.100252,-0.000000,img__0_1648105359713099500.png
1648105359683,-9.128041,0.000000,-3.229389,0.995292,0.000000,0.096919,-0.000000,img__0_1648105359762375300.png
1648105359731,-9.500786,0.000000,-3.290758,0.995596,0.000000,0.093749,-0.000000,img__0_1648105359808563400.png
1648105359779,-9.876450,0.000000,-3.349279,0.995875,0.000000,0.090734,-0.000000,img__0_1648105359857033700.png
1648105359827,-10.254917,0.000000,-3.405101,0.996132,0.000000,0.087865,-0.000000,img__0_1648105359905527100.png
1648105359875,-10.636077,0.000000,-3.458363,0.996369,0.000000,0.085135,-0.000000,img__0_1648105359954344700.png
1648105359941,-11.164369,0.000000,-3.527659,0.996666,0.000000,0.081595,-0.000000,img__0_1648105360019360400.png
1648105359989,-11.551496,0.000000,-3.575354,0.996861,0.000000,0.079167,-0.000000,img__0_1648105360067405600.png
1648105360037,-11.940964,0.000000,-3.620903,0.997042,0.000000,0.076854,-0.000000,img__0_1648105360115218400.png
