TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z,ImageFile
1648039222622,0.000000,0.000000,0.678591,1.000000,0.000000,0.000000,0.000000,img__0_1648039222699870900.png
1648039222670,0.000000,0.000000,0.678591,1.000000,0.000000,0.000000,0.000000,img__0_1648039222747946300.png
1648039222721,0.000000,0.000000,0.678591,1.000000,0.000000,0.000000,0.000000,img__0_1648039222796254800.png
1648039222781,0.000000,0.000000,0.678591,1.000000,0.000000,0.000000,0.000000,img__0_1648039222860572200.png
1648039222832,-0.000000,0.000000,0.678312,0.999998,0.000000,0.001811,-0.000000,img__0_1648039222909120700.png
1648039222880,-0.000253,0.000000,0.669768,0.999833,0.000000,0.018295,-0.000000,img__0_1648039222957480300.png
1648039222928,-0.001730,0.000000,0.647260,0.999677,0.000000,0.025400,-0.000000,img__0_1648039223005875400.png
1648039222976,-0.005052,0.000000,0.609921,0.999566,0.000000,0.029470,-0.000000,img__0_1648039223054504300.png
1648039223024,-0.010567,0.000000,0.557631,0.999498,0.000000,0.031686,-0.000000,img__0_1648039223103008900.png
1648039223072,-0.018439,0.000000,0.490556,0.999469,0.000000,0.032571,-0.000000,img__0_1648039223151020800.png
1648039223138,-0.033210,0.000000,0.374594,0.999470,0.000000,0.032540,-0.000000,img__0_1648039223215524700.png
1648039223186,-0.046802,0.000000,0.273395,0.999488,0.000000,0.031985,-0.000000,img__0_1648039223264022800.png
1648039223234,-0.062726,0.000000,0.158398,0.999514,0.000000,0.031163,-0.000000,img__0_1648039223312414500.png
1648039223282,-0.080899,0.000000,0.030009,0.999545,0.000000,0.030172,-0.000000,img__0_1648039223360662700.png
1648039223330,-0.101224,0.000000,-0.111329,0.999577,0.000000,0.029075,-0.000000,img__0_1648039223409201200.png
1648039223381,-0.125058,0.000000,-0.275157,0.999612,0.000000,0.027842,-0.000000,img__0_1648039223458029600.png
1648039223444,-0.157492,0.000000,-0.496084,0.999655,0.000000,0.026269,-0.000000,img__0_1648039223522462800.png
1648039223495,-0.186011,0.000000,-0.689198,0.999688,0.000000,0.024983,-0.000000,img__0_1648039223573675200.png
1648039223543,-0.214576,0.000000,-0.882001,0.999717,0.000000,0.023775,-0.000000,img__0_1648039223622449800.png
1648039223594,-0.246634,0.000000,-1.097979,0.999747,0.000000,0.022504,-0.000000,img__0_1648039223670720000.png
1648039223645,-0.280332,0.000000,-1.324793,0.999774,0.000000,0.021255,-0.000000,img__0_1648039223722826300.png
1648039223690,-0.311332,0.000000,-1.533413,0.999797,0.000000,0.020174,-0.000000,img__0_1648039223767619800.png
1648039223753,-0.356573,0.000000,-1.837978,0.999825,-0.000000,0.018702,-0.000000,img__0_1648039223831461100.png
1648039223801,-0.392189,0.000000,-2.074260,0.999845,-0.000000,0.017616,-0.000000,img__0_1648039223879841800.png
1648039223849,-0.428290,0.000000,-2.301694,0.999863,-0.000000,0.016570,-0.000000,img__0_1648039223928226200.png
1648039223897,-0.464673,0.000000,-2.515128,0.999879,-0.000000,0.015576,-0.000000,img__0_1648039223976484400.png
1648039223948,-0.503577,0.000000,-2.725256,0.999894,-0.000000,0.014587,-0.000000,img__0_1648039224025560400.png
1648039223996,-0.540418,0.000000,-2.907641,0.999906,-0.000000,0.013726,-0.000000,img__0_1648039224073522400.png
1648039224062,-0.591446,0.000000,-3.135523,0.999920,-0.000000,0.012651,-0.000000,img__0_1648039224138918100.png
1648039224110,-0.628840,0.000000,-3.285823,0.999929,-0.000000,0.011947,-0.000000,img__0_1648039224187330800.png
1648039224158,-0.666481,0.000000,-3.424161,0.999936,-0.000000,0.011301,-0.000000,img__0_1648039224235614800.png
1648039224206,-0.704376,0.000000,-3.551418,0.999943,-0.000000,0.010710,-0.000000,img__0_1648039224283140600.png
1648039224254,-0.742528,0.000000,-3.668424,0.999948,-0.000000,0.010167,-0.000000,img__0_1648039224331634900.png
1648039224302,-0.780940,0.000000,-3.775960,0.999953,-0.000000,0.009668,-0.000000,img__0_1648039224380240400.png
1648039224368,-0.834180,0.000000,-3.909692,0.999959,-0.000000,0.009044,-0.000000,img__0_1648039224444916500.png
1648039224416,-0.873208,0.000000,-3.997574,0.999963,-0.000000,0.008630,-0.000000,img__0_1648039224493211700.png
1648039224464,-0.912493,0.000000,-4.078259,0.999966,-0.000000,0.008244,-0.000000,img__0_1648039224541715600.png
1648039224515,-0.954513,0.000000,-4.156738,0.999969,-0.000000,0.007863,-0.000000,img__0_1648039224593184500.png
1648039224560,-0.991824,0.000000,-4.220283,0.999972,-0.000000,0.007548,-0.000000,img__0_1648039224638640600.png
1648039224608,-1.031863,0.000000,-4.282646,0.999974,-0.000000,0.007232,-0.000000,img__0_1648039224687110800.png
1648039224674,-1.087312,0.000000,-4.360077,0.999977,-0.000000,0.006827,-0.000000,img__0_1648039224751042700.png
1648039224722,-1.127920,0.000000,-4.410895,0.999979,-0.000000,0.006553,-0.000000,img__0_1648039224799293500.png
1648039224770,-1.168760,0.000000,-4.457512,0.999980,-0.000000,0.006293,-0.000000,img__0_1648039224848158300.png
1648039224818,-1.209825,0.000000,-4.500275,0.999982,-0.000000,0.006046,-0.000000,img__0_1648039224896101100.png
1648039224866,-1.251110,0.000000,-4.539504,0.999983,-0.000000,0.005812,-0.000000,img__0_1648039224944608900.png
1648039224917,-1.295211,0.000000,-4.577641,0.999984,-0.000000,0.005576,-0.000000,img__0_1648039224996045700.png
1648039224983,-1.352631,0.000000,-4.622087,0.999986,-0.000000,0.005289,-0.000000,img__0_1648039225060388600.png
1648039225028,-1.392000,0.000000,-4.649514,0.999987,-0.000000,0.005103,-0.000000,img__0_1648039225106210000.png
1648039225076,-1.434182,0.000000,-4.676436,0.999988,-0.000000,0.004914,-0.000000,img__0_1648039225154812700.png
1648039225124,-1.476553,0.000000,-4.701148,0.999989,-0.000000,0.004733,-0.000000,img__0_1648039225203245200.png
1648039225172,-1.519107,0.000000,-4.723835,0.999990,-0.000000,0.004561,-0.000000,img__0_1648039225250876400.png
1648039225223,-1.564517,0.000000,-4.745911,0.999990,-0.000000,0.004386,-0.000000,img__0_1648039225300110100.png
1648039225271,-1.607432,0.000000,-4.764942,0.999991,-0.000000,0.004228,-0.000000,img__0_1648039225348128300.png
1648039225334,-1.664011,0.000000,-4.787593,0.999992,-0.000000,0.004031,-0.000000,img__0_1648039225412317900.png
1648039225382,-1.707303,0.000000,-4.803243,0.999992,-0.000000,0.003889,-0.000000,img__0_1648039225460505700.png
1648039225430,-1.750750,0.000000,-4.817629,0.999993,-0.000000,0.003752,-0.000000,img__0_1648039225509066500.png
1648039225478,-1.794345,0.000000,-4.830859,0.999993,-0.000000,0.003621,-0.000000,img__0_1648039225557344600.png
1648039225529,-1.840823,0.000000,-4.843758,0.999994,-0.000000,0.003487,-0.000000,img__0_1648039225608061900.png
1648039225577,-1.884710,0.000000,-4.854899,0.999994,-0.000000,0.003367,-0.000000,img__0_1648039225654828700.png
1648039225640,-1.942515,0.000000,-4.868194,0.999995,-0.000000,0.003216,-0.000000,img__0_1648039225719242000.png
1648039225688,-1.986704,0.000000,-4.877401,0.999995,-0.000000,0.003106,-0.000000,img__0_1648039225767071100.png
1648039225736,-2.031018,0.000000,-4.885886,0.999996,-0.000000,0.003001,-0.000000,img__0_1648039225815736400.png
1648039225784,-2.075450,0.000000,-4.893709,0.999996,-0.000000,0.002900,-0.000000,img__0_1648039225863996100.png
1648039225835,-2.122785,0.000000,-4.901354,0.999996,-0.000000,0.002797,-0.000000,img__0_1648039225912196700.png
1648039225883,-2.167450,0.000000,-4.907978,0.999996,-0.000000,0.002704,-0.000000,img__0_1648039225960514800.png
1648039225946,-2.226234,0.000000,-4.915905,0.999997,-0.000000,0.002587,-0.000000,img__0_1648039226025834800.png
1648039225994,-2.271140,0.000000,-4.921416,0.999997,-0.000000,0.002502,-0.000000,img__0_1648039226074023700.png
1648039226045,-2.318960,0.000000,-4.926814,0.999997,-0.000000,0.002415,-0.000000,img__0_1648039226122505300.png
1648039226093,-2.364065,0.000000,-4.931502,0.999997,-0.000000,0.002336,-0.000000,img__0_1648039226171422500.png
1648039226141,-2.409260,0.000000,-4.935841,0.999997,-0.000000,0.002261,-0.000000,img__0_1648039226219737000.png
1648039226192,-2.457376,0.000000,-4.940100,0.999998,-0.000000,0.002184,-0.000000,img__0_1648039226269435000.png
1648039226252,-2.514105,0.000000,-4.944687,0.999998,-0.000000,0.002097,-0.000000,img__0_1648039226331474100.png
1648039226303,-2.562423,0.000000,-4.948258,0.999998,-0.000000,0.002027,-0.000000,img__0_1648039226379959900.png
1648039226351,-2.607979,0.000000,-4.951367,0.999998,-0.000000,0.001963,-0.000000,img__0_1648039226428459100.png
