TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z,ImageFile
1648105147470,0.000000,0.000000,0.678841,1.000000,0.000000,0.000000,0.000000,img__0_1648105147567085900.png
1648105147521,0.000000,0.000000,0.678841,1.000000,0.000000,0.000000,0.000000,img__0_1648105147617949300.png
1648105147572,0.000000,0.000000,0.678841,1.000000,0.000000,0.000000,0.000000,img__0_1648105147666898900.png
1648105147635,0.000000,0.000000,0.678841,1.000000,0.000000,0.000000,0.000000,img__0_1648105147730757200.png
1648105147683,0.000000,0.000000,0.678836,0.999999,-0.000000,0.001584,0.000000,img__0_1648105147779111700.png
1648105147731,-0.000484,0.000000,0.675479,0.998109,0.000000,0.061472,-0.000000,img__0_1648105147827840600.png
1648105147785,-0.006052,0.000000,0.657096,0.991974,0.000000,0.126439,-0.000000,img__0_1648105147879334500.png
1648105147830,-0.018860,0.000000,0.629711,0.985860,0.000000,0.167574,-0.000000,img__0_1648105147925228700.png
1648105147878,-0.044096,0.000000,0.588840,0.979854,0.000000,0.199716,-0.000000,img__0_1648105147973246200.png
1648105147944,-0.102332,0.000000,0.514390,0.973322,0.000000,0.229443,-0.000000,img__0_1648105148038957000.png
1648105147995,-0.168218,0.000000,0.443468,0.969581,0.000000,0.244773,-0.000000,img__0_1648105148089535100.png
1648105148037,-0.237025,0.000000,0.376976,0.967219,0.000000,0.253944,-0.000000,img__0_1648105148134295400.png
1648105148088,-0.338792,0.000000,0.287140,0.965049,0.000000,0.262071,-0.000000,img__0_1648105148182696600.png
1648105148136,-0.453086,0.000000,0.194177,0.963578,0.000000,0.267429,-0.000000,img__0_1648105148231005700.png
1648105148184,-0.585203,0.000000,0.094034,0.963505,0.000000,0.267690,-0.000000,img__0_1648105148279389400.png
1648105148247,-0.785298,0.000000,-0.047615,0.964832,0.000000,0.262866,-0.000000,img__0_1648105148344261300.png
1648105148298,-0.968806,0.000000,-0.170366,0.966494,0.000000,0.256690,-0.000000,img__0_1648105148392692500.png
1648105148346,-1.158392,0.000000,-0.292183,0.968271,0.000000,0.249904,-0.000000,img__0_1648105148442672600.png
1648105148394,-1.363633,0.000000,-0.419825,0.970127,0.000000,0.242599,-0.000000,img__0_1648105148489465900.png
1648105148442,-1.583817,0.000000,-0.553035,0.971994,0.000000,0.235006,-0.000000,img__0_1648105148537810700.png
1648105148493,-1.833341,0.000000,-0.700400,0.973946,0.000000,0.226782,-0.000000,img__0_1648105148589765500.png
1648105148556,-2.162517,0.000000,-0.890336,0.976271,0.000000,0.216551,-0.000000,img__0_1648105148652504700.png
1648105148604,-2.427977,0.000000,-1.040636,0.977963,0.000000,0.208777,-0.000000,img__0_1648105148699133700.png
1648105148652,-2.705402,0.000000,-1.195556,0.979578,0.000000,0.201065,-0.000000,img__0_1648105148747353800.png
1648105148700,-2.993408,0.000000,-1.353112,0.981111,0.000000,0.193444,-0.000000,img__0_1648105148796023900.png
1648105148748,-3.288963,0.000000,-1.507139,0.982558,0.000000,0.185958,-0.000000,img__0_1648105148844002800.png
1648105148796,-3.590469,0.000000,-1.654552,0.983910,0.000000,0.178666,-0.000000,img__0_1648105148892346600.png
1648105148862,-4.013729,0.000000,-1.845225,0.985609,0.000000,0.169041,-0.000000,img__0_1648105148956990200.png
1648105148913,-4.347340,0.000000,-1.983230,0.986797,0.000000,0.161964,-0.000000,img__0_1648105149005753100.png
1648105148961,-4.666369,0.000000,-2.106116,0.987820,0.000000,0.155604,-0.000000,img__0_1648105149057885400.png
1648105149009,-4.990159,0.000000,-2.222626,0.988756,0.000000,0.149539,-0.000000,img__0_1648105149106298700.png
1648105149057,-5.318579,0.000000,-2.333151,0.989612,0.000000,0.143763,-0.000000,img__0_1648105149153321200.png
1648105149105,-5.651495,0.000000,-2.438057,0.990395,0.000000,0.138269,-0.000000,img__0_1648105149201820600.png
1648105149153,-5.988767,0.000000,-2.537679,0.991110,0.000000,0.133046,-0.000000,img__0_1648105149249806900.png
