TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z,ImageFile
1648038430730,0.000000,0.000000,0.679306,1.000000,0.000000,0.000000,0.000000,img__0_1648038430811879000.png
1648038430778,0.000000,0.000000,0.679306,1.000000,0.000000,0.000000,0.000000,img__0_1648038430859908700.png
1648038430829,0.000000,0.000000,0.679306,1.000000,0.000000,0.000000,0.000000,img__0_1648038430908217300.png
1648038430892,0.000000,0.000000,0.679306,1.000000,0.000000,0.000000,0.000000,img__0_1648038430972821400.png
1648038430940,-0.000006,0.000000,0.678115,0.999979,0.000000,0.006482,-0.000000,img__0_1648038431021266800.png
1648038430988,-0.000477,0.000000,0.666253,0.999802,0.000000,0.019921,-0.000000,img__0_1648038431069752800.png
1648038431036,-0.002370,0.000000,0.640032,0.999641,0.000000,0.026783,-0.000000,img__0_1648038431118295400.png
1648038431087,-0.006530,0.000000,0.595889,0.999538,0.000000,0.030385,0.000000,img__0_1648038431166806400.png
1648038431135,-0.012769,0.000000,0.538966,0.999486,0.000000,0.032058,0.000000,img__0_1648038431215236300.png
1648038431198,-0.024586,0.000000,0.441933,0.999466,0.000000,0.032687,0.000000,img__0_1648038431279643500.png
1648038431246,-0.036386,0.000000,0.351323,0.999474,0.000000,0.032434,0.000000,img__0_1648038431327894300.png
1648038431294,-0.050567,0.000000,0.246639,0.999494,0.000000,0.031800,0.000000,img__0_1648038431376264100.png
1648038431345,-0.068168,0.000000,0.120409,0.999524,0.000000,0.030868,0.000000,img__0_1648038431425371300.png
1648038431393,-0.087025,0.000000,-0.012076,0.999555,0.000000,0.029838,0.000000,img__0_1648038431473019200.png
1648038431441,-0.108000,0.000000,-0.157364,0.999588,0.000000,0.028718,0.000000,img__0_1648038431521468900.png
1648038431507,-0.140103,0.000000,-0.377151,0.999633,0.000000,0.027097,0.000000,img__0_1648038431586083100.png
1648038431555,-0.165677,0.000000,-0.550877,0.999665,0.000000,0.025891,0.000000,img__0_1648038431635036000.png
1648038431603,-0.193000,0.000000,-0.735702,0.999695,0.000000,0.024680,0.000000,img__0_1648038431683627200.png
1648038431651,-0.221965,0.000000,-0.931096,0.999725,0.000000,0.023474,0.000000,img__0_1648038431731849400.png
1648038431699,-0.252465,0.000000,-1.136522,0.999752,0.000000,0.022282,0.000000,img__0_1648038431779862600.png
1648038431747,-0.284399,0.000000,-1.351445,0.999777,0.000000,0.021109,0.000000,img__0_1648038431828703300.png
1648038431810,-0.328323,0.000000,-1.647062,0.999808,0.000000,0.019607,0.000000,img__0_1648038431892506000.png
1648038431861,-0.365409,0.000000,-1.896598,0.999830,0.000000,0.018427,0.000000,img__0_1648038431940924600.png
1648038431909,-0.401182,0.000000,-2.131577,0.999849,0.000000,0.017350,0.000000,img__0_1648038431989199600.png
1648038431957,-0.437366,0.000000,-2.355814,0.999867,0.000000,0.016316,0.000000,img__0_1648038432037846400.png
1648038432005,-0.473809,0.000000,-2.565524,0.999882,0.000000,0.015336,0.000000,img__0_1648038432087465500.png
1648038432053,-0.510474,0.000000,-2.760020,0.999896,0.000000,0.014420,0.000000,img__0_1648038432134769900.png
1648038432119,-0.561248,0.000000,-3.003471,0.999912,0.000000,0.013271,0.000000,img__0_1648038432198835900.png
1648038432167,-0.598448,0.000000,-3.164203,0.999922,0.000000,0.012514,0.000000,img__0_1648038432247386300.png
1648038432215,-0.635889,0.000000,-3.312227,0.999930,0.000000,0.011821,0.000000,img__0_1648038432295602900.png
1648038432263,-0.673579,0.000000,-3.448454,0.999937,0.000000,0.011186,0.000000,img__0_1648038432344100500.png
1648038432311,-0.711523,0.000000,-3.573756,0.999944,0.000000,0.010604,0.000000,img__0_1648038432392872200.png
1648038432359,-0.749725,0.000000,-3.688956,0.999949,0.000000,0.010070,0.000000,img__0_1648038432440975700.png
1648038432410,-0.790599,0.000000,-3.801149,0.999954,0.000000,0.009549,0.000000,img__0_1648038432489966300.png
1648038432479,-0.846366,0.000000,-3.937697,0.999960,0.000000,0.008911,0.000000,img__0_1648038432558437900.png
1648038432524,-0.883023,0.000000,-4.018148,0.999964,0.000000,0.008530,0.000000,img__0_1648038432605005300.png
1648038432572,-0.922374,0.000000,-4.097143,0.999967,0.000000,0.008152,0.000000,img__0_1648038432653877800.png
