TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z,ImageFile
1648038289858,0.000000,0.000000,0.679942,1.000000,0.000000,0.000000,0.000000,img__0_1648038289940500500.png
1648038289903,0.000000,0.000000,0.679942,1.000000,0.000000,0.000000,0.000000,img__0_1648038289986722600.png
1648038289954,0.000000,0.000000,0.679942,1.000000,0.000000,0.000000,0.000000,img__0_1648038290036466400.png
1648038290017,0.000000,0.000000,0.679942,1.000000,0.000000,0.000000,0.000000,img__0_1648038290099879300.png
1648038290065,-0.000001,0.000000,0.679502,0.999996,0.000000,0.002763,-0.000000,img__0_1648038290147792300.png
1648038290119,-0.000413,0.000000,0.668034,0.999809,0.000000,0.019527,-0.000000,img__0_1648038290200326400.png
1648038290164,-0.002035,0.000000,0.644753,0.999658,0.000000,0.026147,-0.000000,img__0_1648038290245587300.png
1648038290212,-0.005617,0.000000,0.605548,0.999554,0.000000,0.029855,-0.000000,img__0_1648038290293339200.png
1648038290260,-0.011420,0.000000,0.551403,0.999493,0.000000,0.031845,-0.000000,img__0_1648038290341461900.png
1648038290323,-0.022642,0.000000,0.457964,0.999466,0.000000,0.032679,-0.000000,img__0_1648038290406044100.png
1648038290371,-0.033990,0.000000,0.370030,0.999471,0.000000,0.032516,-0.000000,img__0_1648038290454846300.png
1648038290419,-0.047729,0.000000,0.267958,0.999490,0.000000,0.031940,-0.000000,img__0_1648038290503380400.png
1648038290470,-0.064877,0.000000,0.144423,0.999518,0.000000,0.031046,-0.000000,img__0_1648038290551453600.png
1648038290518,-0.083324,0.000000,0.014390,0.999549,0.000000,0.030039,-0.000000,img__0_1648038290599868700.png
1648038290566,-0.103910,0.000000,-0.128534,0.999581,0.000000,0.028933,-0.000000,img__0_1648038290648000000.png
1648038290632,-0.135512,0.000000,-0.345221,0.999627,0.000000,0.027322,-0.000000,img__0_1648038290712461400.png
1648038290677,-0.159115,0.000000,-0.505749,0.999657,0.000000,0.026194,-0.000000,img__0_1648038290760951400.png
1648038290731,-0.189493,0.000000,-0.711375,0.999692,0.000000,0.024831,-0.000000,img__0_1648038290812110500.png
1648038290776,-0.216414,0.000000,-0.893044,0.999719,0.000000,0.023699,-0.000000,img__0_1648038290857757000.png
1648038290824,-0.246634,0.000000,-1.096630,0.999747,0.000000,0.022504,-0.000000,img__0_1648038290906509700.png
1648038290872,-0.278307,0.000000,-1.309813,0.999773,0.000000,0.021327,-0.000000,img__0_1648038290954620400.png
1648038290938,-0.324046,0.000000,-1.617639,0.999805,0.000000,0.019748,0.000000,img__0_1648038291020359600.png
1648038290983,-0.356573,0.000000,-1.836631,0.999825,0.000000,0.018702,0.000000,img__0_1648038291067345200.png
1648038291034,-0.394437,0.000000,-2.087523,0.999846,0.000000,0.017549,0.000000,img__0_1648038291115708300.png
1648038291082,-0.430562,0.000000,-2.314248,0.999864,0.000000,0.016506,0.000000,img__0_1648038291164102600.png
1648038291130,-0.466962,0.000000,-2.526829,0.999880,0.000000,0.015515,0.000000,img__0_1648038291212545800.png
1648038291178,-0.503588,0.000000,-2.724203,0.999894,0.000000,0.014587,0.000000,img__0_1648038291261045400.png
1648038291241,-0.551991,0.000000,-2.960746,0.999909,0.000000,0.013470,-0.000000,img__0_1648038291325389500.png
1648038291292,-0.591463,0.000000,-3.134650,0.999920,0.000000,0.012651,-0.000000,img__0_1648038291374011900.png
1648038291340,-0.628860,0.000000,-3.285018,0.999929,0.000000,0.011946,-0.000000,img__0_1648038291424166300.png
1648038291388,-0.666504,0.000000,-3.423419,0.999936,0.000000,0.011300,-0.000000,img__0_1648038291471347700.png
1648038291439,-0.706778,0.000000,-3.558341,0.999943,0.000000,0.010674,-0.000000,img__0_1648038291522543700.png
1648038291487,-0.744949,0.000000,-3.674785,0.999949,0.000000,0.010134,-0.000000,img__0_1648038291570793700.png
1648038291553,-0.797856,0.000000,-3.819655,0.999955,0.000000,0.009462,-0.000000,img__0_1648038291634502000.png
1648038291601,-0.836644,0.000000,-3.914889,0.999959,0.000000,0.009017,-0.000000,img__0_1648038291682991100.png
1648038291649,-0.875690,0.000000,-4.002345,0.999963,0.000000,0.008604,-0.000000,img__0_1648038291731468900.png
1648038291697,-0.914993,0.000000,-4.082636,0.999966,0.000000,0.008220,-0.000000,img__0_1648038291779718400.png
1648038291745,-0.954550,0.000000,-4.156334,0.999969,0.000000,0.007862,-0.000000,img__0_1648038291828152600.png
1648038291793,-0.994359,0.000000,-4.223967,0.999972,0.000000,0.007527,-0.000000,img__0_1648038291876595600.png
1648038291841,-1.034415,0.000000,-4.286024,0.999974,0.000000,0.007212,-0.000000,img__0_1648038291925021800.png
1648038291908,-1.089886,0.000000,-4.363073,0.999977,0.000000,0.006809,-0.000000,img__0_1648038291990030600.png
1648038291956,-1.130510,0.000000,-4.413638,0.999979,0.000000,0.006535,-0.000000,img__0_1648038292038659500.png
1648038292004,-1.171365,0.000000,-4.460020,0.999980,0.000000,0.006276,-0.000000,img__0_1648038292086958500.png
1648038292052,-1.212445,0.000000,-4.502567,0.999982,0.000000,0.006030,-0.000000,img__0_1648038292135307600.png
1648038292103,-1.256334,0.000000,-4.543928,0.999983,0.000000,0.005783,-0.000000,img__0_1648038292183466700.png
1648038292154,-1.300464,0.000000,-4.581669,0.999985,0.000000,0.005549,-0.000000,img__0_1648038292235803500.png
1648038292214,-1.352681,0.000000,-4.621868,0.999986,0.000000,0.005288,-0.000000,img__0_1648038292296457900.png
1648038292262,-1.394681,0.000000,-4.651056,0.999987,0.000000,0.005090,-0.000000,img__0_1648038292344823400.png
1648038292310,-1.436876,0.000000,-4.677845,0.999988,0.000000,0.004902,-0.000000,img__0_1648038292393345800.png
1648038292361,-1.481915,0.000000,-4.703901,0.999989,0.000000,0.004711,-0.000000,img__0_1648038292443658300.png
1648038292409,-1.524494,0.000000,-4.726356,0.999990,0.000000,0.004539,-0.000000,img__0_1648038292490633800.png
1648038292457,-1.567249,0.000000,-4.746975,0.999990,0.000000,0.004375,-0.000000,img__0_1648038292538594500.png
1648038292520,-1.623625,0.000000,-4.771511,0.999991,0.000000,0.004170,-0.000000,img__0_1648038292603528900.png
1648038292571,-1.669471,0.000000,-4.789469,0.999992,0.000000,0.004012,-0.000000,img__0_1648038292653028500.png
1648038292616,-1.710072,0.000000,-4.804031,0.999992,0.000000,0.003879,-0.000000,img__0_1648038292699527600.png
1648038292667,-1.756250,0.000000,-4.819204,0.999993,0.000000,0.003735,-0.000000,img__0_1648038292747751200.png
