TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z,ImageFile
1648039040061,0.000000,0.000000,0.678848,1.000000,0.000000,0.000000,0.000000,img__0_1648039040230790800.png
1648039040112,0.000000,0.000000,0.678848,1.000000,0.000000,0.000000,0.000000,img__0_1648039040280298200.png
1648039040163,0.000000,0.000000,0.678848,1.000000,0.000000,0.000000,0.000000,img__0_1648039040328992600.png
1648039040208,0.000000,0.000000,0.678848,1.000000,0.000000,0.000000,0.000000,img__0_1648039040377560900.png
1648039040274,-0.000002,0.000000,0.678206,0.999992,0.000000,0.003884,-0.000000,img__0_1648039040442260400.png
1648039040322,-0.000354,0.000000,0.668026,0.999817,0.000000,0.019134,-0.000000,img__0_1648039040490941400.png
1648039040370,-0.002035,0.000000,0.643659,0.999658,0.000000,0.026147,-0.000000,img__0_1648039040539180600.png
1648039040418,-0.005617,0.000000,0.604454,0.999554,0.000000,0.029855,0.000000,img__0_1648039040587281400.png
1648039040466,-0.011420,0.000000,0.550309,0.999493,0.000000,0.031845,0.000000,img__0_1648039040635389400.png
1648039040517,-0.020184,0.000000,0.476606,0.999467,0.000000,0.032635,0.000000,img__0_1648039040686229600.png
1648039040580,-0.034779,0.000000,0.362968,0.999472,0.000000,0.032490,0.000000,img__0_1648039040748190000.png
1648039040628,-0.048666,0.000000,0.260024,0.999491,0.000000,0.031894,0.000000,img__0_1648039040797153100.png
1648039040679,-0.065965,0.000000,0.135589,0.999520,0.000000,0.030987,0.000000,img__0_1648039040846411600.png
1648039040727,-0.084549,0.000000,0.004737,0.999551,0.000000,0.029972,0.000000,img__0_1648039040895033400.png
1648039040775,-0.105266,0.000000,-0.138977,0.999583,0.000000,0.028862,0.000000,img__0_1648039040943636000.png
1648039040823,-0.128007,0.000000,-0.295073,0.999617,0.000000,0.027694,0.000000,img__0_1648039040991323300.png
1648039040889,-0.162382,0.000000,-0.529001,0.999661,0.000000,0.026043,0.000000,img__0_1648039041058502100.png
1648039040934,-0.187749,0.000000,-0.700684,0.999690,0.000000,0.024907,0.000000,img__0_1648039041103111700.png
1648039040982,-0.216414,0.000000,-0.894137,0.999719,0.000000,0.023699,0.000000,img__0_1648039041151520000.png
1648039041030,-0.246634,0.000000,-1.097723,0.999747,0.000000,0.022504,-0.000000,img__0_1648039041199990600.png
1648039041081,-0.280332,0.000000,-1.324536,0.999774,0.000000,0.021255,-0.000000,img__0_1648039041248701400.png
1648039041129,-0.313439,0.000000,-1.547336,0.999798,0.000000,0.020103,-0.000000,img__0_1648039041297827300.png
1648039041192,-0.358776,0.000000,-1.852541,0.999826,-0.000000,0.018633,-0.000000,img__0_1648039041361393600.png
1648039041246,-0.398931,0.000000,-2.117575,0.999848,-0.000000,0.017416,-0.000000,img__0_1648039041413022900.png
1648039041291,-0.432825,0.000000,-2.328955,0.999865,-0.000000,0.016442,-0.000000,img__0_1648039041458667300.png
1648039041339,-0.469238,0.000000,-2.540527,0.999881,-0.000000,0.015455,-0.000000,img__0_1648039041507906100.png
1648039041387,-0.505875,0.000000,-2.736886,0.999894,-0.000000,0.014531,-0.000000,img__0_1648039041554817600.png
1648039041435,-0.542730,0.000000,-2.918377,0.999907,-0.000000,0.013674,-0.000000,img__0_1648039041603187700.png
1648039041498,-0.591449,0.000000,-3.135357,0.999920,-0.000000,0.012651,-0.000000,img__0_1648039041668212000.png
1648039041549,-0.631189,0.000000,-3.294658,0.999929,-0.000000,0.011904,-0.000000,img__0_1648039041718174700.png
1648039041600,-0.671208,0.000000,-3.440517,0.999937,-0.000000,0.011224,-0.000000,img__0_1648039041768213200.png
1648039041645,-0.706758,0.000000,-3.558892,0.999943,-0.000000,0.010674,-0.000000,img__0_1648039041813057800.png
1648039041693,-0.744926,0.000000,-3.675293,0.999949,-0.000000,0.010135,-0.000000,img__0_1648039041861660300.png
1648039041741,-0.783354,0.000000,-3.782272,0.999954,-0.000000,0.009638,-0.000000,img__0_1648039041909689300.png
1648039041807,-0.836617,0.000000,-3.915307,0.999959,-0.000000,0.009017,-0.000000,img__0_1648039041974897200.png
1648039041855,-0.875662,0.000000,-4.002729,0.999963,-0.000000,0.008605,-0.000000,img__0_1648039042023615800.png
1648039041903,-0.914963,0.000000,-4.082991,0.999966,-0.000000,0.008221,-0.000000,img__0_1648039042071264900.png
1648039041951,-0.954519,0.000000,-4.156660,0.999969,-0.000000,0.007863,-0.000000,img__0_1648039042119484900.png
1648039042002,-0.996823,0.000000,-4.228302,0.999972,-0.000000,0.007507,-0.000000,img__0_1648039042171613700.png
1648039042047,-1.034381,0.000000,-4.286300,0.999974,-0.000000,0.007213,-0.000000,img__0_1648039042216159000.png
1648039042095,-1.074677,0.000000,-4.343214,0.999976,-0.000000,0.006916,-0.000000,img__0_1648039042264883000.png
1648039042161,-1.130473,0.000000,-4.413872,0.999979,-0.000000,0.006536,-0.000000,img__0_1648039042329784600.png
1648039042209,-1.171327,0.000000,-4.460243,0.999980,-0.000000,0.006277,-0.000000,img__0_1648039042377620300.png
1648039042257,-1.212406,-0.000000,-4.502782,0.999982,-0.000000,0.006031,-0.000000,img__0_1648039042426418500.png
1648039042308,-1.256294,-0.000000,-4.544133,0.999983,-0.000000,0.005784,-0.000000,img__0_1648039042476529700.png
