TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z,ImageFile
1648038980342,0.000000,0.000000,0.679306,1.000000,0.000000,0.000000,0.000000,img__0_1648038980500136600.png
1648038980393,0.000000,0.000000,0.679306,1.000000,0.000000,0.000000,0.000000,img__0_1648038980552281300.png
1648038980441,0.000000,0.000000,0.679306,1.000000,0.000000,0.000000,0.000000,img__0_1648038980600612400.png
1648038980507,0.000000,0.000000,0.679306,1.000000,0.000000,0.000000,0.000000,img__0_1648038980664979700.png
1648038980555,-0.000016,0.000000,0.677351,0.999957,0.000000,0.009259,-0.000000,img__0_1648038980713551000.png
1648038980603,-0.000623,0.000000,0.663790,0.999785,0.000000,0.020748,-0.000000,img__0_1648038980762150700.png
1648038980651,-0.002736,0.000000,0.635717,0.999627,0.000000,0.027327,-0.000000,img__0_1648038980810865300.png
1648038980699,-0.006852,0.000000,0.592765,0.999533,0.000000,0.030545,0.000000,img__0_1648038980859591100.png
1648038980750,-0.013715,0.000000,0.530810,0.999482,0.000000,0.032184,0.000000,img__0_1648038980910011600.png
1648038980801,-0.023281,0.000000,0.452253,0.999466,0.000000,0.032684,0.000000,img__0_1648038980959770400.png
1648038980861,-0.038029,0.000000,0.339000,0.999476,0.000000,0.032371,0.000000,img__0_1648038981020017100.png
1648038980909,-0.052504,0.000000,0.232582,0.999497,0.000000,0.031702,0.000000,img__0_1648038981068533800.png
1648038980957,-0.069283,0.000000,0.112512,0.999525,0.000000,0.030807,0.000000,img__0_1648038981116822800.png
1648038981005,-0.088275,0.000000,-0.020786,0.999557,0.000000,0.029770,0.000000,img__0_1648038981165409700.png
1648038981053,-0.109379,0.000000,-0.166859,0.999590,0.000000,0.028646,0.000000,img__0_1648038981213646900.png
1648038981104,-0.133996,0.000000,-0.335516,0.999625,0.000000,0.027396,0.000000,img__0_1648038981262305900.png
1648038981167,-0.167334,0.000000,-0.562108,0.999667,0.000000,0.025816,0.000000,img__0_1648038981327351500.png
1648038981215,-0.194763,0.000000,-0.747611,0.999697,0.000000,0.024604,0.000000,img__0_1648038981375641700.png
1648038981263,-0.223827,0.000000,-0.943647,0.999726,0.000000,0.023399,0.000000,img__0_1648038981423956700.png
1648038981311,-0.254420,0.000000,-1.149682,0.999753,0.000000,0.022208,0.000000,img__0_1648038981471693200.png
1648038981362,-0.288487,0.000000,-1.378952,0.999780,0.000000,0.020964,0.000000,img__0_1648038981521679300.png
1648038981410,-0.321915,0.000000,-1.603929,0.999804,0.000000,0.019819,0.000000,img__0_1648038981569762700.png
1648038981473,-0.367627,0.000000,-1.911439,0.999831,0.000000,0.018359,0.000000,img__0_1648038981633309900.png
1648038981524,-0.405688,0.000000,-2.160321,0.999852,0.000000,0.017218,0.000000,img__0_1648038981682550900.png
1648038981569,-0.439637,0.000000,-2.369363,0.999868,0.000000,0.016253,0.000000,img__0_1648038981729924800.png
1648038981620,-0.478380,0.000000,-2.590666,0.999884,0.000000,0.015218,0.000000,img__0_1648038981778430900.png
1648038981668,-0.515072,0.000000,-2.783278,0.999898,0.000000,0.014311,0.000000,img__0_1648038981827038300.png
1648038981716,-0.551984,0.000000,-2.961193,0.999909,0.000000,0.013470,0.000000,img__0_1648038981875753700.png
1648038981782,-0.603115,0.000000,-3.183382,0.999923,0.000000,0.012424,0.000000,img__0_1648038981940964800.png
1648038981827,-0.638238,0.000000,-3.321077,0.999931,0.000000,0.011779,0.000000,img__0_1648038981987971400.png
1648038981878,-0.678308,0.000000,-3.464697,0.999938,0.000000,0.011110,0.000000,img__0_1648038982036452500.png
1648038981926,-0.716284,0.000000,-3.588693,0.999945,0.000000,0.010535,0.000000,img__0_1648038982084681300.png
1648038981974,-0.754519,0.000000,-3.702685,0.999950,0.000000,0.010007,0.000000,img__0_1648038982133450000.png
1648038982022,-0.793012,0.000000,-3.807439,0.999955,0.000000,0.009520,0.000000,img__0_1648038982181645400.png
1648038982091,-0.848803,0.000000,-3.943263,0.999961,0.000000,0.008885,0.000000,img__0_1648038982249238500.png
1648038982136,-0.885475,0.000000,-4.023286,0.999964,0.000000,0.008506,0.000000,img__0_1648038982294873300.png
1648038982184,-0.924841,0.000000,-4.101859,0.999967,0.000000,0.008129,0.000000,img__0_1648038982344403200.png
1648038982235,-0.966946,0.000000,-4.178281,0.999970,0.000000,0.007755,0.000000,img__0_1648038982393705300.png
1648038982280,-1.004331,0.000000,-4.240155,0.999972,0.000000,0.007447,0.000000,img__0_1648038982440207700.png
1648038982328,-1.044446,0.000000,-4.300878,0.999975,0.000000,0.007137,0.000000,img__0_1648038982488053200.png
1648038982394,-1.099999,0.000000,-4.376270,0.999977,0.000000,0.006739,0.000000,img__0_1648038982552451500.png
1648038982442,-1.140681,0.000000,-4.425750,0.999979,0.000000,0.006469,0.000000,img__0_1648038982600768800.png
1648038982490,-1.181592,0.000000,-4.471139,0.999981,0.000000,0.006214,0.000000,img__0_1648038982649175500.png
1648038982538,-1.222727,0.000000,-4.512776,0.999982,0.000000,0.005971,0.000000,img__0_1648038982698247700.png
1648038982589,-1.266673,0.000000,-4.553252,0.999984,0.000000,0.005727,0.000000,img__0_1648038982746198800.png
1648038982634,-1.305648,0.000000,-4.586015,0.999985,0.000000,0.005522,0.000000,img__0_1648038982794330800.png
1648038982685,-1.350039,0.000000,-4.620084,0.999986,0.000000,0.005301,0.000000,img__0_1648038982845688000.png
1648038982748,-1.405188,0.000000,-4.658092,0.999987,0.000000,0.005043,0.000000,img__0_1648038982908137900.png
1648038982796,-1.447430,0.000000,-4.684309,0.999988,0.000000,0.004856,0.000000,img__0_1648038982955743400.png
1648038982847,-1.492518,0.000000,-4.709811,0.999989,0.000000,0.004667,0.000000,img__0_1648038983005603500.png
1648038982892,-1.532471,0.000000,-4.730468,0.999990,0.000000,0.004508,0.000000,img__0_1648038983053334700.png
1648038982943,-1.577939,0.000000,-4.751970,0.999991,0.000000,0.004335,0.000000,img__0_1648038983101528300.png
1648038982991,-1.620907,0.000000,-4.770507,0.999991,0.000000,0.004180,0.000000,img__0_1648038983150850900.png
1648038983054,-1.677553,0.000000,-4.792573,0.999992,0.000000,0.003986,0.000000,img__0_1648038983215159500.png
1648038983102,-1.720894,0.000000,-4.807820,0.999993,0.000000,0.003845,0.000000,img__0_1648038983262630500.png
1648038983150,-1.764388,0.000000,-4.821838,0.999993,0.000000,0.003710,0.000000,img__0_1648038983310800800.png
1648038983204,-1.813494,0.000000,-4.836267,0.999994,0.000000,0.003565,0.000000,img__0_1648038983362743900.png
1648038983249,-1.854554,0.000000,-4.847300,0.999994,0.000000,0.003449,0.000000,img__0_1648038983407839300.png
1648038983297,-1.898484,0.000000,-4.858160,0.999994,0.000000,0.003330,0.000000,img__0_1648038983455709200.png
1648038983360,-1.956342,0.000000,-4.871119,0.999995,0.000000,0.003181,0.000000,img__0_1648038983520313400.png
1648038983408,-2.000571,0.000000,-4.880095,0.999995,0.000000,0.003073,0.000000,img__0_1648038983568629800.png
1648038983456,-2.044923,0.000000,-4.888369,0.999996,0.000000,0.002969,0.000000,img__0_1648038983617122000.png
1648038983507,-2.092175,0.000000,-4.896453,0.999996,0.000000,0.002863,0.000000,img__0_1648038983665482100.png
1648038983555,-2.136765,0.000000,-4.903455,0.999996,0.000000,0.002767,0.000000,img__0_1648038983713820700.png
1648038983603,-2.181464,0.000000,-4.909917,0.999996,0.000000,0.002675,0.000000,img__0_1648038983763722600.png
1648038983669,-2.243097,0.000000,-4.918003,0.999997,0.000000,0.002554,0.000000,img__0_1648038983828315600.png
1648038983717,-2.288041,0.000000,-4.923354,0.999997,0.000000,0.002470,0.000000,img__0_1648038983876090500.png
1648038983765,-2.333081,0.000000,-4.928301,0.999997,0.000000,0.002390,0.000000,img__0_1648038983924671600.png
1648038983813,-2.378214,0.000000,-4.932877,0.999997,0.000000,0.002312,0.000000,img__0_1648038983974533100.png
1648038983861,-2.423438,0.000000,-4.937115,0.999997,0.000000,0.002238,0.000000,img__0_1648038984020983200.png
1648038983909,-2.468748,0.000000,-4.941038,0.999998,0.000000,0.002166,0.000000,img__0_1648038984068606200.png
1648038983972,-2.528343,0.000000,-4.945755,0.999998,0.000000,0.002076,0.000000,img__0_1648038984133208900.png
1648038984023,-2.576688,0.000000,-4.949242,0.999998,0.000000,0.002007,0.000000,img__0_1648038984181535300.png
1648038984071,-2.622267,0.000000,-4.952281,0.999998,0.000000,0.001944,0.000000,img__0_1648038984230002800.png
1648038984119,-2.667921,0.000000,-4.955102,0.999998,0.000000,0.001883,0.000000,img__0_1648038984278490100.png
1648038984167,-2.713645,0.000000,-4.957723,0.999998,0.000000,0.001825,0.000000,img__0_1648038984327620200.png
1648038984215,-2.759437,0.000000,-4.960157,0.999998,0.000000,0.001769,0.000000,img__0_1648038984375708900.png
1648038984281,-2.822509,0.000000,-4.963230,0.999999,0.000000,0.001696,0.000000,img__0_1648038984441000700.png
1648038984329,-2.868455,0.000000,-4.965281,0.999999,0.000000,0.001644,0.000000,img__0_1648038984490489000.png
1648038984380,-2.917338,0.000000,-4.967307,0.999999,0.000000,0.001592,0.000000,img__0_1648038984538633500.png
1648038984425,-2.960524,0.000000,-4.968974,0.999999,0.000000,0.001548,0.000000,img__0_1648038984584799700.png
1648038984473,-3.006643,0.000000,-4.970634,0.999999,0.000000,0.001502,0.000000,img__0_1648038984633051700.png
1648038984521,-3.052816,0.000000,-4.972185,0.999999,0.000000,0.001458,0.000000,img__0_1648038984681497400.png
1648038984572,-3.101932,0.000000,-4.973720,0.999999,0.000000,0.001414,0.000000,img__0_1648038984731905900.png
1648038984638,-3.165576,0.000000,-4.975549,0.999999,0.000000,0.001358,0.000000,img__0_1648038984798114400.png
1648038984683,-3.209021,0.000000,-4.976703,0.999999,0.000000,0.001322,0.000000,img__0_1648038984843981300.png
1648038984734,-3.258308,0.000000,-4.977927,0.999999,0.000000,0.001283,0.000000,img__0_1648038984893053900.png
1648038984782,-3.304741,0.000000,-4.979004,0.999999,0.000000,0.001247,0.000000,img__0_1648038984941637600.png
1648038984827,-3.348310,0.000000,-4.979952,0.999999,0.000000,0.001215,0.000000,img__0_1648038984988167800.png
1648038984875,-3.394822,0.000000,-4.980902,0.999999,0.000000,0.001182,0.000000,img__0_1648038985036572900.png
1648038984941,-3.458842,0.000000,-4.982114,0.999999,0.000000,0.001138,0.000000,img__0_1648038985100958700.png
1648038984989,-3.505445,0.000000,-4.982931,0.999999,0.000000,0.001108,0.000000,img__0_1648038985149380000.png
1648038985037,-3.552086,0.000000,-4.983699,0.999999,0.000000,0.001079,0.000000,img__0_1648038985197711800.png
1648038985085,-3.598760,0.000000,-4.984421,0.999999,0.000000,0.001051,0.000000,img__0_1648038985246084400.png
1648038985136,-3.648388,0.000000,-4.985142,0.999999,0.000000,0.001022,0.000000,img__0_1648038985295131400.png
1648038985184,-3.695129,0.000000,-4.985779,1.000000,0.000000,0.000996,0.000000,img__0_1648038985343657800.png
1648038985247,-3.756524,0.000000,-4.986559,1.000000,0.000000,0.000964,0.000000,img__0_1648038985407968700.png
